	Count
A0/S3;S0/8;F-1	1
I0/S8;Q0/3;F1	1
F0/S9;I0/3;F1	1
I0/S8;T0/3;F-1	1
S0/S8;T0/3;F1	1
S0/S8;V0/3;F-1	1
I0/S9;Q0/3;F1	2
F0/S3;L0/9;F1	1
A0/S3;S0/8;F1	1
T0/S3;Y0/9;F-1	1
I0/S9;Q0/3;F-1	2
F0/S3;Y0/9;F1	1
I0/S3;Y0/8;F-1	1
A0/S3;C0/9;F1	1
F0/S9;T0/3;F-1	1
E0/S3;R0/8;F1	1
D0/S9;P0/3;F1	1
H0/S3;T0/2;F-1	1
R0/S3;T0/8;F-1	1
F0/S9;T0/3;F1	2
I0/S8;R0/3;F1	1
I0/S3;S0/8;F1	1
I0/S9;P0/3;F-1	2
Q0/S2;R0/3;F-1	1
P0/S8;T0/3;F1	1
R0/S3;V0/8;F1	1
F0/S3;T0/9;F-1	1
T0/S9;T0/3;F-1	1
I0/S8;Q0/3;F-1	1
P0/S3;S0/9;F-1	1
P0/S9;S0/3;F1	2
L0/S8;S0/3;F-1	1
S0/S9;W0/3;F-1	1
E0/S8;E0/3;F-1	1
E0/S8;Q0/3;F-1	1
Q0/S3;S0/9;F-1	1
P0/S3;S0/9;F1	1
